Countries,Observation weights,PC1-PC2 inertia (%),PC2-PC3 inertia (%),PC1-PC3 inertia (%)
Argentine,0.004,72.1,59.23,59.06
Australie,0.008,72.28,72.97,13.14
Autriche,0.012,31.97,33.85,11.66
Belgique,0.016,74.24,55.1,63.41
Bolivie,0.02,88.3,5.58,88.19
Bresil,0.024,87.12,30.18,92.11
Canada,0.028,93.56,27,94.02
Chili,0.032,77.65,39.09,67.15
Colombie,0.036,87.66,18.37,89.01
Costa-Rica,0.04,82.76,30.82,87.96
Cuba,0.004,33.54,27.46,38.86
Danemark,0.008,87.79,44.64,96.46
Rep.Dominic,0.012,67.79,37.94,72.87
Equateur,0.016,94.67,18.77,95.06
Egypte,0.02,84.36,39.02,87.27
Espagne,0.024,24.95,95.24,94.1
Etats-Unis,0.028,87.72,70.8,51.98
Finiande,0.032,64.45,70.36,93.79
France,0.036,65.52,42.08,62.13
Guatemala,0.04,96.2,10.39,96.43
Grece,0.004,65.69,24.48,67.2
Honduras,0.008,91.49,33.14,85.56
Inde,0.012,47.22,73.18,55.93
Irak,0.016,61.37,46.69,73.23
Irlande,0.02,72.64,73.71,86.98
Italie,0.024,75.5,55.44,51.28
Japon,0.028,70.84,71.82,73.84
Libye,0.032,77.43,74.22,59.05
Luxembourg,0.036,95.34,37.66,89.18
Nicaragua,0.04,87.01,55.65,72.98
Norvege,0.004,85.2,40.17,90.73
Nile-Zelande,0.008,88.92,78.16,43.88
Panama,0.012,75.5,61,95.22
Pays-Bas,0.016,70.04,49.54,69.32
Péru,0.02,84.5,41.17,90.46
Philippines,0.024,44.03,45.49,20.01
Pologne,0.028,96.66,76.18,65.4
RFA,0.032,56.47,39.75,67.95
Royaume-Uni,0.036,88.42,84.12,56.6
Salvador,0.04,81.06,18.83,82.92
Sud-Vietnam,0.004,56.68,46.98,44.71
Suede,0.008,95.69,22.88,95.89
Suisse,0.012,99.16,7.88,99.39
Taiwan,0.016,45.33,95.63,86.5
Uruguay,0.02,66.41,67.88,36.73
Venezuela,0.024,94.19,67.5,65.84
Yougoslavie,0.028,96.47,84.44,53.13
